adpu,其实
aawt,工作
aisg,东西
akft,或者
adwb,其他
anlw,世界
adgc,甚至
adkh,其中
adhh,项目
atbp,医院
adsg,基本
alce,功能
aqtj,获得
attg,医生
adtf,期待
amlg,英国
akyt,或许
abhh,节目
aatk,工程
atfm,攻击
ansy,艺术
aduj,期间
aauq,工资
awmg,共同
aqpw,警察
aqiy,欧洲
amyg,英语
afqk,著名
adqq,基金
addb,基础
adpx,其它
amdc,英雄
aqpy,敬礼
amnr,恐怕
ailf,范围
amqq,黄金
aahw,工具
agjs,苹果
aqfa,区域
anxn,世纪
aqkl,区别
aaog,工业
afhx,某些
aiyy,东方
akjg,或是
amyy,英文
adfb,基地
atub,医疗
aqyy,警方
amfm,贡献
afwg,革命
aaww,工人
adgf,基于
adjg,若是
adqm,欺负
amnd,恐怖
awbn,花了
apud,营养
apqi,营销
andd,巨大
alyt,苏州
alfw,功夫
aiux,东北
albu,苏联
afwh,某个
aadg,工厂
apfc,劳动
awqg,花钱
atip,医学
airg,落后
aftk,某种
aqug,欧美
axtr,药物
amfg,英寸
amnh,恐惧
aiap,东莞
amqc,黄色
afww,某人
adyn,期望
adwx,期货
aduq,其次
adcy,欺骗
abdw,节奏
anae,蔬菜
anww,艺人
aqfq,欧元
aqtf,警告
aaan,工艺
aqje,欧盟
awlf,花园
abjj,节日
awuf,荷兰
auab,菩萨
axkk,药品
apiw,荣誉
awyb,共享
adwt,其余
aqbc,获取
aiyi,东京
awde,共有
ajdj,莫非
aipu,落实
afbb,鞋子
anuj,世间
awfk,恭喜
aqbj,欧阳
ajqc,蓝色
anhh,世上
atax,医药
aarx,戒指
adfg,若干
anth,芯片
awxj,花费
anww,世人
aiuk,东部
aawf,工会
aluq,功效
anfg,世博
ajdr,草原
ahgo,邪恶
adbv,期限
adld,基因
adnf,基层
aidh,落在
amis,黄河
aqto,获悉
ajaj,草草
aigo,东亚
ajpw,慕容
aquq,获奖
atlt,攻略
ahhw,牙齿
afaf,某某
allt,功力
apog,营业
aqtj,获利
ajrg,幕后
ajqk,莫名
ahha,雅虎
abce,节能
ajwv,划分
awkf,茶叶
aigh,落下
ajsv,草根
abxq,节约
apdg,蒙古
anjt,巨星
aimq,东风
aehi,散步
agwg,巧合
afny,甘心
aeuj,菜单
abit,节省
aiit,东海
ahuv,臣妾
aqnj,警惕
aqaq,葡萄
amqu,英镑
amfh,英超
ajth,蔓延
ajjj,昔日
ahpg,卧室
awqt,花儿
awms,花朵
auii,薪水
atgk,董事
ajgd,蓝天
awyk,共识
afvi,甘肃
aeyy,散文
aeyn,散户
adhw,期盼
aafb,工地
